Rank,Name,Position,ADP,Total Points
151,Chas McCormick,"LF,CF,RF",154,86
152,Jake Burger,"1B,3B,DH",155,272
153,Jorge Soler,"RF,DH",155.3,294
154,Yu Darvish,SP,157.7,184
155,Kenley Jansen,RP,157.7,267
156,Alec Bohm,"1B,3B",157.7,366
157,Jose Berrios,SP,157.7,364
158,Thairo Estrada,"2B,SS",158.3,151
159,Vinnie Pasquantino,"1B,DH",159.7,352
160,Willson Contreras,"C,DH",162.3,178
161,Francisco Alvarez,C,162.7,155
162,Ian Happ,"DH,LF",163.3,351
163,Cristian Javier,SP,163.3,56
164,Nolan Gorman,"2B,3B,DH",163.7,127
165,Isaac Paredes,"1B,2B,3B,DH",164.3,329
166,Walker Buehler,SP,164.7,72
167,Christopher Morel,"2B,3B,CF,DH,LF,RF",165.7,211
168,Jose Alvarado,RP,166,194
169,Brandon Nimmo,"LF,CF",167.7,340
170,Masataka Yoshida,"LF,DH",168.7,234
171,Jordan Montgomery,SP,168.7,86
172,Shota Imanaga,SP,170,429
173,Kodai Senga,SP,170.3,20
174,Nathan Eovaldi,SP,171.3,353
175,James Outman,"LF,CF",172,22
176,Jarren Duran,"LF,CF",173.3,439
177,Hunter Brown,SP,176.3,345
178,Rhys Hoskins,"1B,DH",182,236
179,Eloy Jimenez,"RF,DH",184.3,112
180,Bryce Miller,SP,184.3,426
181,Ke'Bryan Hayes,3B,184.7,128
182,TJ Friedl,"LF,CF",186.3,186
183,Nick Pivetta,"SP,RP",187.7,281
184,Jose Leclerc,RP,188,170
185,Jackson Holliday,"2B,SS",188.7,60
186,Gabriel Moreno,C,189.3,192
187,Ryan Pepiot,"SP,RP",189.3,278
188,Justin Turner,"1B,2B,3B,DH",192,254
189,Willy Adames,SS,192.7,409
190,Charlie Morton,SP,195.7,286
191,Jonah Heim,"C,DH",197.7,195
192,Bryan Woo,SP,199,290
193,Kerry Carpenter,"LF,RF,DH",200.3,196
194,Eduardo Rodriguez,SP,201,64
195,Gavin Williams,SP,201.7,107
196,Triston McKenzie,SP,204,93
197,Steven Kwan,"DH,LF",205,345
198,Alex Lange,RP,205.7,32
199,Robert Suarez,RP,206,340
200,Ezequiel Tovar,SS,209.3,297
201,Starling Marte,"DH,RF",210.7,178
202,Tommy Edman,"2B,SS,CF,RF",211.3,85
203,Carlos Estevez,RP,211.7,263
204,Logan O'Hoppe,"C,DH",213.7,196
205,Trevor Story,SS,214,39
206,Aaron Civale,SP,215,264
207,Byron Buxton,"CF,DH",216,232
208,Brandon Pfaadt,SP,216,317
209,Kyle Bradish,SP,219,109
210,Giancarlo Stanton,"RF,DH",219.3,214
211,Nestor Cortes Jr.,SP,220.7,336
212,Lourdes Gurriel Jr.,"LF,DH",221,305
213,Jeimer Candelario,"1B,3B,DH",222.7,203
214,Mitch Garver,"C,DH",223.7,133
215,Nathaniel Lowe,1B,224.7,274
216,Maikel Garcia,"2B,3B,SS",224.7,309
217,Kyle Harrison,SP,226.7,198
218,Tyler O'Neill,"CF,DH,LF,RF",228.3,242
219,Keibert Ruiz,"C,DH",230,233
220,J.D. Martinez,"LF,DH",230.3,199
221,Edouard Julien,"2B,DH",230.7,80
222,Daulton Varsho,"LF,CF",233,239
223,Kutter Crawford,"SP,RP",234.7,328
224,Jonathan India,"2B,DH",236,319
225,Ryan Pressly,RP,237,176
226,Jung Hoo Lee,CF,237,70
227,Brayan Bello,SP,237,269
228,Carlos Correa,SS,237.7,253
229,Marcus Stroman,SP,238.7,206
230,Cristopher Sanchez,SP,240.7,342
231,Paul Skenes,SP,240.7,401
232,Braxton Garrett,SP,242.3,57
233,Brandon Drury,"1B,2B,3B,DH",243,64
234,Mason Miller,"RP,SP",243.3,346
235,Jorge Polanco,"2B,3B,DH",245.7,149
236,Kyle Finnegan,RP,249.7,294
237,Jackson Merrill,"SS,CF",252,388
238,Shane Baz,SP,253.3,171
239,Jared Jones,SP,255,236
240,Nick Lodolo,SP,258,214
241,Ryan Mountcastle,"1B,DH",258.3,234
242,Reid Detmers,SP,259.7,95
243,A.J. Puk,"RP,SP",261,206
244,MJ Melendez,"C,DH,LF,RF",264.7,179
245,Will PSmith,RP,266,46
246,Jeremy Pena,SS,268.3,319
247,Taylor Ward,"DH,LF",268.3,303
248,Garrett Crochet,"SP,RP",270,363
249,Whit Merrifield,"2B,3B,LF",274.3,151
250,Anthony Rizzo,1B,275.7,148
251,Joel Payamps,RP,277.3,203
252,Victor Scott,"CF,RF",277.7,34
253,Noelvi Marte,"3B,DH",192,54
254,Jarred Kelenic,"LF,CF,RF",279.3,162
255,Jack Flaherty,SP,279.3,405
256,Ranger Suarez,SP,282.3,308
257,Max Scherzer,SP,282.3,78
